dataset,seed,teacher_acc,tiny_supervised_acc,tiny_distilled_acc,distill_gain
Cora,1,0.8290000557899475,0.831000030040741,0.8230000138282776,-0.008000016212463379
Cora,2,0.8270000219345093,0.8290000557899475,0.8330000638961792,0.0040000081062316895
Cora,3,0.8390000462532043,0.8260000348091125,0.8040000200271606,-0.022000014781951904
Cora,4,0.8300000429153442,0.8280000686645508,0.8330000638961792,0.004999995231628418
Cora,5,0.8280000686645508,0.8100000619888306,0.8190000653266907,0.009000003337860107
