dataset,model,ratio,num_train_labels,mean_test_accuracy,std_test_accuracy
CiteSeer,gat,0.1,12,0.3016000121831894,0.17893938426668898
CiteSeer,gat,0.2,24,0.4164000079035759,0.20601043696739926
CiteSeer,gat,0.5,60,0.6588000178337097,0.014872802453447924
CiteSeer,gat,1.0,120,0.7100000262260437,0.004242649285107768
