dataset,model,ratio,num_train_labels,mean_test_accuracy,std_test_accuracy
Cora,gat,0.1,14,0.5884000062942505,0.05898559461492366
Cora,gat,0.2,28,0.6904000282287598,0.046014111572147284
Cora,gat,0.5,70,0.7996000289916992,0.012581729981722843
Cora,gat,1.0,140,0.8306000471115113,0.004827008184285821
